id,name__nn,name__en,name__se,name__es,name__de,name__fr,name__nb,name__eo,name__nl,name__da,name__sv,name__hu,name,wikipedia__da,wikipedia__en,wikipedia__nn,wikipedia__no,wikipedia__se,image,gender,birth_date,identifier__freebase,given_name,identifier__storting,original_wikiname,death_date,wikipedia__de,wikipedia__sv,name__lb,name__zh,name__eu,name__pl,name__qu,name__ta,name__af,name__oc,name__ms,name__sw,name__et,name__el,name__bcl,name__ga,name__ar,name__pt,name__is,name__ru,name__sr,name__tr,name__fi,name__uk,name__be_tarask,name__io,name__kk,name__an,name__ko,name__he,name__be,name__yo,name__lv,name__it,name__gl,name__id,name__ja,name__vi,name__sh,name__ku,name__ro,name__ca,name__la,name__fo,name__cs,name__mr,name__bg,name__fa,name__lt,name__pt_br,name__lmo,name__en_gb,name__ka,name__sco,name__ml,name__hi,name__az,name__br,name__ie,name__hy,wikipedia__af,wikipedia__an,wikipedia__ar,wikipedia__az,wikipedia__bcl,wikipedia__be_x_old,wikipedia__be,wikipedia__bg,wikipedia__br,wikipedia__ca,wikipedia__commons,wikipedia__cs,wikipedia__cswikiquote,wikipedia__dewikiquote,wikipedia__el,wikipedia__enwikiquote,wikipedia__eo,wikipedia__es,wikipedia__et,wikipedia__eu,wikipedia__fa,wikipedia__fawikiquote,wikipedia__fi,wikipedia__fo,wikipedia__fr,wikipedia__ga,wikipedia__gl,wikipedia__he,wikipedia__hi,wikipedia__hu,wikipedia__id,wikipedia__ie,wikipedia__io,wikipedia__is,wikipedia__it,wikipedia__ja,wikipedia__ka,wikipedia__kk,wikipedia__ko,wikipedia__ku,wikipedia__la,wikipedia__lb,wikipedia__lmo,wikipedia__lt,wikipedia__lv,wikipedia__ml,wikipedia__mr,wikipedia__ms,wikipedia__nl,wikipedia__nowikiquote,wikipedia__oc,wikipedia__pl,wikipedia__plwikiquote,wikipedia__pt,wikipedia__qu,wikipedia__ro,wikipedia__ru,wikipedia__ruwikinews,wikipedia__sco,wikipedia__sh,wikipedia__simple,wikipedia__sr,wikipedia__sw,wikipedia__ta,wikipedia__tr,wikipedia__uk,wikipedia__vi,wikipedia__yo,wikipedia__zh,identifier__ISNI,identifier__VIAF,identifier__GND,identifier__LCAuth,identifier__BNF,identifier__SUDOC,identifier__IMDB,identifier__BIBSYS,identifier__NNDB,identifier__Munzinger,identifier__GTAA,identifier__parlement,twitter,facebook,identifier__FAST,name__bs,wikipedia__bswikiquote,name__nds,name__cy,identifier__OLID,identifier__polsys,name__ceb,name__hr,name__nds_nl,name__pms,name__sk,name__sl,name__sq,name__vec,name__wa,name__gsw,website,identifier__wikitree,identifier__N6I,wikipedia__nowikisource,identifier__NTA,family_name,name__mg,wikipedia__mg,noble_title,identifier__bigenc_ru,identifier__PACE,identifier__CERL,name__ast,name__bar,name__bm,name__co,name__de_at,name__de_ch,name__en_ca,name__frc,name__frp,name__fur,name__gd,name__ia,name__jam,name__kab,name__kg,name__li,name__lij,name__min,name__nap,name__nrm,name__pap,name__pcd,name__prg,name__rgn,name__rm,name__sc,name__scn,name__sr_el,name__vls,name__vmf,name__vo,name__wo,name__zu,name__bn,name__mk,name__pdc,wikipedia__ast,wikipedia__bn,wikipedia__sk,identifier__NSK,name__ur,wikipedia__nnwikiquote,wikipedia__ur,identifier__NLAtrove,name__zh_hant,name__zh_cn,identifier__GNC,wikipedia__enwikisource,name__ty,name__sr_ec,name__diq,identifier__MusicBrainz,identifier__NKC,identifier__AlloCine,identifier__SFDb,identifier__kinopoisk,identifier__TED,identifier__Gutenberg,wikipedia__species,wikipedia__hy,name__zh_hans,name__zh_hk,name__zh_sg,name__zh_tw,identifier__Britannica,name__war,name__new,name__sa,wikipedia__new,wikipedia__ptwikiquote,wikipedia__sa,wikipedia__war,identifier__NLI,identifier__NPG,name__vep,wikipedia__vep,name__tl,name__ku_arab,name__ku_latn,name__ne,wikipedia__cy,wikipedia__eswikiquote,wikipedia__frwikiquote,wikipedia__hr,wikipedia__ia,wikipedia__sl,wikipedia__slwikiquote,wikipedia__tl,identifier__NDL,identifier__NLA,name__szl,wikipedia__szl,name__fit,name__kl,wikipedia__nds,wikipedia__sq,identifier__NUKAT,name__ch,name__jv,name__my,name__te,name__zh_mo,name__zh_my,name__th,name__arz,name__pa,wikipedia__arz,wikipedia__bs,wikipedia__jv,wikipedia__my,wikipedia__ne,wikipedia__pa,wikipedia__te,wikipedia__th,identifier__SELIBR,wikipedia__bar,name__frr,name__fy,name__hsb,name__dsb,name__eml,name__as,name__lad,name__aa,name__ak,name__aln,name__ang,name__arn,name__ay,name__bi,name__bjn,name__brh,name__cbk_zam,name__cdo,name__cho,name__chr,name__chy,name__cr,name__crh_latn,name__csb,name__dtp,name__ee,name__ext,name__ff,name__fj,name__gag,name__gn,name__got,name__ha,name__hak,name__haw,name__hif,name__hif_latn,name__ho,name__ht,name__hz,name__ig,name__ik,name__ike_cans,name__ike_latn,name__ilo,name__iu,name__jbo,name__kaa,name__ki,name__kj,name__kk_latn,name__kk_kz,name__kk_tr,name__kr,name__krj,name__ksh,name__lg,name__ln,name__loz,name__ltg,name__lus,name__lzz,name__map_bms,name__mi,name__mt,name__mus,name__mwl,name__na,name__nah,name__ng,name__nl_informal,name__nov,name__nso,name__nv,name__ny,name__om,name__pag,name__pam,name__pdt,name__pfl,name__pih,name__qug,name__rif,name__rmy,name__rn,name__roa_tara,name__rup,name__ruq,name__ruq_latn,name__rw,name__sat,name__sdc,name__sei,name__sg,name__sgs,name__shi,name__shi_latn,name__sli,name__sm,name__sma,name__sn,name__so,name__srn,name__st,name__stq,name__tet,name__tg_latn,name__tk,name__tn,name__to,name__tokipona,name__tpi,name__tru,name__ts,name__tt_latn,name__tum,name__ug_latn,name__uz,name__ve,name__vot,name__xh,name__za,name__zea,occupation,wikipedia__hsb,identifier__ne_se,name__tt,identifier__snac,name__sje,name__smj,wikipedia__zh_min_nan,name__ace,name__egl,name__gv,name__hil,name__su,name__nan,identifier__quora,identifier__persee,wikipedia__itwikiquote,wikipedia__dewikinews,wikipedia__mai,electoral_district,name__mai,identifier__google_knowledge,wikipedia__hrwikiquote,weblog,identifier__NLP,identifier__zbMATH,identifier__CONOR,wikipedia__zh_yue,wikipedia__mk,wikipedia__uz,name__lfn,name__yue
Q6033551,Ingvard Sverdrup,Ingvard Sverdrup,Ingvard Sverdrup,,Ingvard Sverdrup,Ingvard Sverdrup,Ingvard Sverdrup,,Ingvard Sverdrup,Ingvard Sverdrup,Ingvard Sverdrup,,Ingvard Sverdrup,,Ingvard Sverdrup,Ingvard Sverdrup,Ingvard Sverdrup,,,male,1936-09-24,,Ingvard,INSV,Ingvard Sverdrup,1997-03-09,,,,,,,,,,,,Ingvard Sverdrup,,,,,,,Ingvard Sverdrup,,,,,,,,,,,,,,,,,,,,,,,,,Ingvard Sverdrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingvard Sverdrup,,,,,,,,,,Sverdrup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingvard Sverdrup,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Ingvard Sverdrup,Ingvard Sverdrup,,,,,,,,,,,,,,,,,,,,,,,,,
Q6033575,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,,,female,1971-04-03,,Ingvild,INVM,Ingvild Vaggen Malvik,,,,,,,,,,,,,Ingvild Vaggen Malvik,,,,,,,Ingvild Vaggen Malvik,,,,,,,,,,,,,,,,,,,,,,,,,Ingvild Vaggen Malvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98010661,,,,,,,,,,,,,,,,,,,Ingvild Vaggen Malvik,,,,,,,,,,Malvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingvild Vaggen Malvik,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Ingvild Vaggen Malvik,Ingvild Vaggen Malvik,,,,,,,,,,,,,,,,,,,,,,,,,
Q605119,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,,Nils Hjelmtveit,Nils Hjelmtveit,Nils Hjelmtveit,,https://upload.wikimedia.org/wikipedia/commons/6/64/Hjelmtveit_L_4161Fo30141706070010_32.jpg,male,1892-07-21,/m/0bb7n6,Nils,,Nils Hjelmtveit,1985-10-30,,,,,,,,,,,,Nils Hjelmtveit,,,,,,,Nils Hjelmtveit,,,,,,,,,,,,,,,,,,,,,,,,,Nils Hjelmtveit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nils Hjelmtveit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36742586,,,,,,,,,,,,,,,,,,,,,,,,,Nils Hjelmtveit,,,,,,,,,126947503,Hjelmtveit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nils Hjelmtveit,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Nils Hjelmtveit,Nils Hjelmtveit,,,,,,,,,,,,,,,,,,,,,,,,,
Q6069095,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,Irene Johansen,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Irene_Johansen_-_Arbeiderpartiet.jpg,female,1961-01-07,,Irene,IJ,Irene Johansen,,,,,,,,,,,,,Irene Johansen,,,,,,,Irene Johansen,Ирен Йохансен,,,,,,,,,,,,,,,,,,,,,,,,Irene Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301788049,,,,,,11047175,,,,,,,,,,,,,,,,,,,Irene Johansen,,,,,,,,,,Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irene Johansen,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Irene Johansen,Irene Johansen,,,,,,,,,,,,,,,,,,,,,,,,,
Q6078662,Isak Larsson Flatabø,Isak Larsson Flatabø,Isak Larsson Flatabø,,Isak Larsson Flatabø,Isak Larsson Flatabø,Isak Larsson Flatabø,,Isak Larsson Flatabø,Isak Larsson Flatabø,Isak Larsson Flatabø,,Isak Larsson Flatabø,,Isak Larsson Flatabø,Isak L. Flatabø,,,,male,1896-09-11,,Isak,ISFL,Isak Larsson Flatabø,1969-01-22,,,,,,,,,,,,Isak Larsson Flatabø,,,,,,,Isak Larsson Flatabø,,,,,,,,,,,,,,,,,,,,,,,,,Isak Larsson Flatabø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isak Larsson Flatabø,,,,,,,,,,Flatabø,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isak Larsson Flatabø,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Isak Larsson Flatabø,Isak Larsson Flatabø,,,,,,,,,,,,,,,,,,,,,,,,,
Q6098373,Ivar Fløistad,Ivar Fløistad,Ivar Fløistad,Ivar Fløistad,Ivar Fløistad,Ivar Fløistad,Ivar Fløistad,,Ivar Fløistad,Ivar Fløistad,Ivar Fløistad,Ivar Fløistad,Ivar Fløistad,,Ivar Fløistad,Ivar Fløistad,Ivar Guttormsen Fløistad,,,male,1846-12-04,,Ivar,,Ivar Fløistad,1926-11-26,,,,,,,,,,,,Ivar Fløistad,,,,,,,Ivar Fløistad,,,,,,,,,,,,,,,,,,,,,,,,,Ivar Fløistad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306257346,,,,,,,,,,,,,,,,,,,10818,,,,,,Ivar Fløistad,,,,,,,,,,Fløistad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivar Fløistad,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Ivar Fløistad,Ivar Fløistad,,,,,,,,,,,,,,,,,,,,,,,,,
Q6098421,Ivar K. Hognestad,Ivar K. Hognestad,Ivar K. Hognestad,,Ivar Kristiansen Hognestad,Ivar Kristiansen Hognestad,Ivar K. Hognestad,,Ivar Kristiansen Hognestad,Ivar K. Hognestad,Ivar K. Hognestad,,Ivar K. Hognestad,,Ivar Kristiansen Hognestad,Ivar K. Hognestad,,,,male,1888-10-16,,Ivar,IVHO,Ivar Kristiansen Hognestad,1973-04-30,,,,,,,,,,,,Ivar K. Hognestad,,,,,,,Ivar K. Hognestad,,,,,,,,,,,,,,,,,,,,,,,,,Ivar K. Hognestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivar K. Hognestad,,,,,,,,,,Hognestad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivar K. Hognestad,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Ivar K. Hognestad,Ivar K. Hognestad,,,,,,,,,,,,,,,,,,,,,,,,,
Q6098436,Ivar Lind,Ivar Lind,Ivar Lind,,Ivar Lykke Falch Lind,Ivar Lind,Ivar Lind,,Ivar Lykke Falch Lind,Ivar Lind,Ivar Lind,,Ivar Lind,,Ivar Lykke Falch Lind,,Ivar Lind,,,male,1879,,Ivar,,Ivar Lykke Falch Lind,1951,,,,,,,,,,,,Ivar Lind,,,,,,,Ivar Lind,,,,,,,,,,,,,,,,,,,,,,,,,Ivar Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivar Lind,,,,,,,,,,Lind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivar Lind,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Ivar Lind,Ivar Lind,,,,,,,,,,,,,,,,,,,,,,,,,
Q6098694,Iver Johan Unsgård,Iver Johan Unsgård,Iver Johan Unsgård,,Iver Johan Unsgård,Iver Johan Unsgård,Iver Johan Unsgård,,Iver Johan Unsgård,Iver Johan Unsgård,Iver Johan Unsgård,,Iver Johan Unsgård,,Iver Johan Unsgård,Iver Unsgård,Iver Unsgård,,,male,1903-06-26,,Iver,IVUN,Iver Johan Unsgård,1993-06-30,,,,,,,,,,,,Iver Johan Unsgård,,,,,,,Iver Johan Unsgård,,,,,,,,,,,,,,,,,,,,,,,,,Iver Johan Unsgård,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iver Johan Unsgård,,,,,,,,,,Unsgård,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iver Johan Unsgård,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Iver Johan Unsgård,Iver Johan Unsgård,,,,,,,,,,,,,,,,,,,,,,,,,
Q6118855,Jacob Kielland,Jacob Kielland,Jacob Kielland,,Jacob Kielland,Jacob Kielland,Jacob Kielland,,Jacob Kielland,Jacob Kielland,Jacob Kielland,,Jacob Kielland,,Jacob Kielland (officer),,Jacob Kielland (1825-1889),,https://upload.wikimedia.org/wikipedia/commons/8/88/Visittkortportrett_Jacob_Kielland_-_SAS1982-19-005.jpg,male,1825-11-17,,Jacob,,Jacob Kielland (officer),1889-10-19,,,,,,,,,,,,Jacob Kielland,,,,,,,Jacob Kielland,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Kielland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Kielland,,,,,,Kielland-16,,,,Kielland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Kielland,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Jacob Kielland,Jacob Kielland,,,,,,,,,,,,,,,,,,,,,,,,,
Q6119303,Jacob Staalesen Velde,Jacob Staalesen Velde,Jacob Staalesen Velde,,Jacob Staalesen Velde,Jacob Staalesen Velde,Jakob Velde,,Jacob Staalesen Velde,Jacob Staalesen Velde,Jacob Staalesen Velde,,Jacob Staalesen Velde,,Jacob Staalesen Velde,Jakob Stålsson Velle,Jakob Velde,,https://upload.wikimedia.org/wikipedia/commons/7/75/Jacob_Velde.jpg,male,1805-04-18,,Jacob,,Jacob Staalesen Velde,1877-07-14,,,,,,,,,,,,Jacob Staalesen Velde,,,,,,,Jacob Staalesen Velde,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Staalesen Velde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Staalesen Velde,,,,,,,,,,Velde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jacob Staalesen Velde,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Jacob Staalesen Velde,Jacob Staalesen Velde,,,,,,,,,,,,,,,,,,,,,,,,,
Q6125317,Jakob Martinus Remseth,Jakob Martinus Remseth,Jakob Martinus Remseth,,Jakob Martinus Remseth,Jakob Martinus Remseth,Jakob Martinus Remseth,,Jakob Martinus Remseth,Jakob Martinus Remseth,Jakob Martinus Remseth,,Jakob Martinus Remseth,,Jakob Martinus Remseth,Jakob Remseth,,,,male,1897-10-05,,Jakob,JARE,Jakob Martinus Remseth,1969-05-04,,,,,,,,,,,,Jakob Martinus Remseth,,,,,,,Jakob Martinus Remseth,,,,,,,,,,,,,,,,,,,,,,,,,Jakob Martinus Remseth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakob Martinus Remseth,,,,,,,,,,Remseth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jakob Martinus Remseth,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Jakob Martinus Remseth,Jakob Martinus Remseth,,,,,,,,,,,,,,,,,,,,,,,,,
Q613071,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,Johannes Steen,,https://upload.wikimedia.org/wikipedia/commons/8/85/Johannes_Steen.jpg,male,1827-07-22,/m/04h2rz,Johannes,,Johannes Steen,1906-04-01,Johannes Steen,Johannes Steen,,,,,,,,,,Johannes Steen,,,,,يوهانس ستين,,Johannes Steen,Иоганнес Стин,,,,,,,,,,,,,,Johannes Steen,,,,,,,,,,Johannes Steen,,,,,,,,,,,,,,,,,,,يوهانس ستين,,,,,,,,Category:Johannes Steen,,,,,,,Johannes Steen,,,,,,,Johannes Steen,,,,,,,,,,Johannes Steen,,,,,,,,,,,,,,Johannes Steen,,,,,,,,,,,,,,,,,,,,,,228243076,,,,,,,,,,,,,,,,,,,,,,,,,Johannes Steen,,,,,,,,,,Steen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Johannes Steen,,,,,,,,,,,,,,,,,,,,,,,,politician,,johannes-steen,,,Johannes Steen,Johannes Steen,,,,,,,,,,,,,,,,,,,,,,,,,
Q6148666,Jan Bøhler,Jan Bøhler,Jan Bøhler,Jan Bøhler,Jan Bøhler,Jan Bøhler,Jan Bøhler,,Jan Bøhler,Jan Bøhler,Jan Bøhler,Jan Bøhler,Jan Bøhler,,Jan Bøhler,Jan Bøhler,Jan Bøhler,,https://upload.wikimedia.org/wikipedia/commons/6/66/Jan_Bøhler_-_Arbeiderpartiet.jpg,male,1952-03-01,,Jan,JBO,Jan Bøhler,,,,,,,,,,,,,Jan Bøhler,,,,,,,Jan Bøhler,,,,,,,,,,,,,,,,,,,,,,,,,Jan Bøhler,,,,,,,,,,,,,,,,,,,,,,,,,,,Category:Jan Bøhler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Bøhler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Bøhler,,,,,,,,,,Bøhler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jan Bøhler,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,Jan Bøhler,Jan Bøhler,,,,,,,,,,,,,,,,,,,,,,,,,
